STATEFP10,COUNTYFP10,Total,LON*POP,LAT*POP,LON,LAT
4,27,195751,-22432791.129610293,6391278.102054117,-114.59860296810892,32.650040623312876
5,1,19019,-1739504.4583957002,654354.7190393001,-91.46140482652612,34.40531673796205
5,3,21853,-2007664.0400593984,725068.8588844994,-91.87132384841436,33.179373947947624
5,5,41513,-3835134.5429483037,1508258.9764606997,-92.38394100518644,36.33220862044901
5,7,221339,-20856884.25159879,8042872.281216312,-94.23049824747915,36.33734805531927
5,9,36903,-3435645.1057464,1338393.2658706002,-93.09934438247299,36.26787160584777
5,11,11508,-1059924.5748290992,386315.7486643998,-92.10328248428043,33.569321225616946
5,13,5368,-496516.06502060033,180317.11042519988,-92.49554117373327,33.59111595104319
5,15,27446,-2568146.354291299,998295.2740293004,-93.57087933729136,36.373069810875904
5,17,11800,-1077558.0167626,393197.95116049977,-91.31847599683051,33.32186026783897
5,19,22995,-2141406.7996908017,784007.7504921005,-93.12488800568829,34.094705392133086
5,21,16083,-1453460.3090949012,584949.9022036999,-90.37246217091969,36.37069590273581
5,23,25970,-2390212.801409999,922200.7435340009,-92.03745866037731,35.51023271212942
5,25,8689,-800597.0027371005,294687.34443619987,-92.13914175821158,33.91498957718954
5,27,24552,-2289411.1612732015,816551.5347348008,-93.24744058623337,33.258045565933564
5,29,21273,-1972094.7989169,749117.784834399,-92.70412254580454,35.214487135542655
5,31,96443,-8744421.873603392,3456057.589603597,-90.66932668626434,35.835235212546245
5,33,61948,-5840726.103331794,2198960.8592808982,-94.28433691695929,35.49688221219245
5,35,50902,-4592240.131394603,1790597.9803418997,-90.21728284536177,35.17736003186318
5,37,17870,-1622154.7090963996,629968.1314236001,-90.775305489446,35.252833319731394
5,39,8116,-750950.9351584004,274882.5399108001,-92.52722217328737,33.869213887481536
5,41,13008,-1189159.345109,439330.0945099004,-91.41753883064268,33.77383875383613
5,43,18509,-1698788.7848406015,622409.5498601999,-91.78177021128107,33.62740017614133
5,45,113237,-10463703.867947986,3975175.686303592,-92.40534337670536,35.10491876598278
5,47,18125,-1701672.858484801,642460.6090230995,-93.88539908881658,35.4461025667917
5,49,12245,-1123661.313065502,445433.7638775003,-91.7649091927727,36.376787576766056
5,51,96024,-8938089.926890219,3313386.032092301,-93.08183294686971,34.50581138144944
