COUNTYPAIR_ID,STATE_FIPS1,GEOID10_FIPS1,STATE_FIPS2,GEOID10_FIPS2,distance_FIPS1,distance_FIPS2
19057-17071,19,19057,17,17071,0.049363285339810714,0.09271795718328747
19061-17085,19,19061,17,17085,0.10345645030963234,0.17037557750136562
19071-29005,19,19071,29,29005,0.16415557970532346,0.16011822785890062
19071-31131,19,19071,31,31131,0.1828765677159272,0.15346092973751535
19085-31177,19,19085,31,31177,0.22846387489027656,0.0715786673487856
19097-17015,19,19097,17,17015,0.25539394347238514,0.19486696865510156
19111-17067,19,19111,17,17067,0.003712541734752504,0.16992361959676267
19111-29045,19,19111,29,29045,0.163540757778486,0.12695920064775124
19115-17131,19,19115,17,17131,0.14706944691544183,0.2848336530777117
19129-31025,19,19129,31,31025,0.15270115352986888,0.2021506999408799
19133-31021,19,19133,31,31021,0.17086223562099795,0.18419212771632834
19145-29005,19,19145,29,29005,0.16968678737295467,0.17168107650072137
19145-29147,19,19145,29,29147,0.1692825013263075,0.22722363709748736
19155-31055,19,19155,31,31055,0.07780142397469314,0.13414490027273282
19155-31153,19,19155,31,31153,0.10847507401178559,0.11662897393271643
19159-29081,19,19159,29,29081,0.16198416908640273,0.2604777726865391
19159-29227,19,19159,29,29227,0.16189407840418038,0.08874260419003971
19167-46127,19,19167,46,46127,0.28686530539499183,0.2151959320857223
19173-29147,19,19173,29,29147,0.18355331303529662,0.22165542124803234
19173-29227,19,19173,29,29227,0.18858321574234338,0.09430707879662707
19177-29045,19,19177,29,29045,0.13935936704315735,0.1858497184894167
19177-29199,19,19177,29,29199,0.13978639234827817,0.15306107980903375
19185-29129,19,19185,29,29129,0.17112695959818075,0.16275005544736657
19185-29171,19,19185,29,29171,0.1593631802770936,0.15674716433559943
19193-31043,19,19193,31,31043,0.04216638364973374,0.04393220764613106
19193-31173,19,19193,31,31173,0.20708873373138417,0.1685578319007008
20005-29165,20,20005,29,29165,0.08167051638174688,0.324569084620346
20007-40003,20,20007,40,40003,0.21380662840143794,0.33874039854742855
20007-40151,20,20007,40,40151,0.21338013429177158,0.23500973660027114
20019-40113,20,20019,40,40113,0.11182364929591286,0.5745391491474248
20019-40147,20,20019,40,40147,0.25648067194803426,0.27115229178669287
20021-29145,20,20021,29,29145,0.14919894388207985,0.2204722511602193
20021-40035,20,20021,40,40035,0.2777438264081976,0.3336928535641772
20021-40115,20,20021,40,40115,0.11660654383426422,0.1407297567602246
20025-40007,20,20025,40,40007,0.31640793012000895,0.5582676203487248
20025-40059,20,20025,40,40059,0.28880319199600346,0.22930809685287756
20033-40059,20,20033,40,40059,0.2536862456820923,0.31435792141211755
20033-40151,20,20033,40,40151,0.23618491812201414,0.36626227945474005
20035-40071,20,20035,40,40071,0.17522080465165213,0.2538070607826324
20035-40113,20,20035,40,40113,0.3036263038419578,0.640361479674005
20037-29011,20,20037,29,29011,0.11412623366919433,0.3078281523725321
20037-29097,20,20037,29,29097,0.13674937550598038,0.2724757112639072
20043-29021,20,20043,29,29021,0.1189409073930201,0.037250933502924105
20071-08061,20,20071,08,08061,0.28176473641841404,0.6355673241878907
20077-40003,20,20077,40,40003,0.22534422806876325,0.3371617058653828
20077-40053,20,20077,40,40053,0.21672072904879705,0.2377742764956351
20091-29037,20,20091,29,29037,0.15230279255430254,0.18535805838824726
